session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,4,220,107391569300488832,310128.0,127136.0,21862.0,RL,L4,,
ses-4-scan-7,4,220,85931163776045360,154032.0,142176.0,20552.0,V1,L4,,
ses-4-scan-7,4,220,107110506506564688,307863.0,130204.0,20954.0,RL,L4,,
ses-4-scan-7,4,220,112808657200584624,349568.0,117088.0,23943.0,RL,L4,,
ses-4-scan-7,4,220,90574264478172496,187808.0,133216.0,24728.0,V1,L4,,
ses-4-scan-7,4,220,85367320872251584,149878.0,135866.0,23756.0,V1,L4,,
ses-4-scan-7,4,220,112739524735561424,349168.0,126528.0,18536.0,RL,L4,,
ses-4-scan-7,4,220,110345957782173584,331536.0,118784.0,27203.0,RL,L4,,
ses-4-scan-7,4,220,108236062748688336,316031.0,127464.0,20240.0,RL,L4,,
ses-4-scan-7,4,220,83819552097785088,138465.0,137936.0,23815.0,V1,L4,,
ses-4-scan-7,4,220,85296814823129120,149520.0,134528.0,24615.0,V1,L4,,
ses-4-scan-7,4,220,84804439705630192,145690.0,136172.0,24479.0,V1,L4,,
ses-4-scan-7,4,220,113372774915024560,353664.0,125712.0,20085.0,RL,L4,,
ses-4-scan-7,4,220,87900801686640592,168000.0,137392.0,22547.0,V1,L4,,
ses-4-scan-7,4,220,95500350441996256,223600.0,135024.0,17149.0,V1,L4,,
ses-4-scan-7,4,220,95430050752761328,223104.0,135584.0,19659.0,V1,L4,,
ses-4-scan-7,4,220,101973381553275104,270720.0,128496.0,17283.0,RL,L4,,
ses-4-scan-7,4,220,88111976370229536,169728.0,137648.0,20522.0,V1,L4,,
ses-4-scan-7,4,220,96344844427219568,229664.0,135712.0,19792.0,V1,L4,,
ses-4-scan-7,4,220,109995487511753184,328918.0,128831.0,20412.0,RL,L4,,
ses-4-scan-7,4,220,105279957554696112,294887.0,122973.0,24241.0,RL,L4,,
ses-4-scan-7,4,220,113021068566327472,351146.0,126823.0,19858.0,RL,L4,,
ses-4-scan-7,4,220,98947526291730480,248704.0,128656.0,22821.0,V1,L4,,
ses-4-scan-7,4,220,106054493703429056,300552.0,126236.0,16254.0,RL,L4,,
ses-4-scan-7,4,220,98173126642401088,242976.0,126096.0,23651.0,V1,L4,,
ses-4-scan-7,4,220,95499939332903728,223345.0,132231.0,26215.0,V1,L4,,
ses-4-scan-7,4,220,111049988150299520,336848.0,121088.0,22140.0,RL,L4,,
ses-4-scan-7,4,220,96837425434906912,233232.0,135664.0,18022.0,V1,L4,,
ses-4-scan-7,4,220,102254307713816320,272560.0,124528.0,24490.0,RL,L4,,
ses-4-scan-7,4,220,98455425783049392,244928.0,131808.0,20059.0,V1,L4,,
ses-4-scan-7,4,220,106899262499132784,306291.0,128722.0,18050.0,RL,L4,,
ses-4-scan-7,4,220,110910212332267984,335550.0,128603.0,19308.0,RL,L4,,
ses-4-scan-7,4,220,106687674895038608,305008.0,125408.0,15751.0,RL,L4,,
ses-4-scan-7,4,220,89870851444505008,182764.0,135235.0,21126.0,V1,L4,,
ses-4-scan-7,4,220,111402449809953072,339281.0,125946.0,18326.0,RL,L4,,
ses-4-scan-7,4,220,86704601621043856,159572.0,137457.0,21672.0,V1,L4,,
ses-4-scan-7,4,220,111965605921457408,343472.0,127664.0,18016.0,RL,L4,,
ses-4-scan-7,4,220,107602194765206976,311408.0,123520.0,23949.0,RL,L4,,
ses-4-scan-7,4,220,97751188854214368,239834.0,127901.0,22373.0,V1,L4,,
ses-4-scan-7,4,220,82835076136020576,131540.0,143063.0,18331.0,V1,L4,,
ses-4-scan-7,4,220,85719164526317088,152384.0,135392.0,23487.0,V1,L4,,
ses-4-scan-7,4,220,96343882958487312,229878.0,128655.0,24353.0,V1,L4,,
ses-4-scan-7,4,220,97751462792441872,240000.0,129920.0,15090.0,V1,L4,,
ses-4-scan-7,4,220,83116276100665792,133216.0,141264.0,17371.0,V1,L4,,
ses-4-scan-7,4,220,85719713275624752,152429.0,139622.0,15864.0,V1,L4,,
ses-4-scan-7,4,220,83609132322026656,137186.0,143262.0,18389.0,V1,L4,,
